"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"229",20617,"Dowra","cavan/monaghandivision",NA,22,9,0,0,23,42,2,0,2,20,72,3,390,0.006
"230",20350,"Drimoleague","cork westdivision",NA,49,51,0,0,69,136,8,80,3,78,92,7,1146,0.017
"231",20359,"Drinagh","cork westdivision",NA,20,6,0,1,23,35,9,14,2,29,11,9,318,0.005
"232",2047,"Drogheda","louthdivision",NA,2046,1996,18,312,4635,9399,716,2091,400,5513,6919,988,70066,1.054
"233",2055,"Drumad","louthdivision",NA,111,95,0,17,272,731,43,33,55,412,178,21,3936,0.059
"234",20327,"Drumcollogher","limerickdivision",NA,71,40,0,3,213,229,23,20,10,122,96,9,1672,0.025
"235",2097,"Drumlish","roscommon/longforddivision",NA,93,77,0,0,97,160,19,16,2,106,155,25,1500,0.023
"236",20608,"Drumshambo","sligo/leitrimdivision",NA,126,90,1,4,151,294,25,10,26,223,501,13,2928,0.044
"237",2022,"Dublin Airport","d.m.r. northerndivision",NA,140,271,61,8,52,2500,1392,443,170,328,1057,114,13072,0.197
"238",2081,"Duleek","meathdivision",NA,178,133,1,28,736,1093,55,62,25,581,216,26,6268,0.094
"239",20641,"Dun Fionnachaid","donegaldivision",NA,57,59,3,1,96,131,6,5,10,151,222,3,1488,0.022
"240",203,"Dun Laoghaire","d.m.r. easterndivision",NA,1441,802,10,374,5117,11182,716,1924,264,5214,7830,2467,74682,1.124
"241",2065,"Dunboyne","meathdivision",NA,437,352,1,98,968,2349,137,186,49,803,524,31,11870,0.179
"242",20195,"Duncannon","wexforddivision",NA,117,72,0,4,297,412,20,84,8,198,99,26,2674,0.04
"243",2052,"Dundalk","louthdivision",NA,2484,2347,20,441,4314,11469,999,1468,545,7941,7339,1023,80780,1.216
"244",2045,"Dundrum","d.m.r. easterndivision",NA,1143,1062,10,413,6354,15470,964,2486,222,5475,3893,402,75788,1.141
"245",20213,"Dungarvan","waterforddivision",NA,1001,843,9,45,1030,2885,189,982,183,1895,3340,227,25258,0.38
"246",20164,"Dunlavin","wicklowdivision",NA,76,57,2,6,317,328,10,26,6,175,209,9,2442,0.037
"247",2050,"Dunleer","louthdivision",NA,198,136,2,9,328,639,50,53,18,392,258,24,4214,0.063
"248",20358,"Dunmanway","cork westdivision",NA,212,145,1,10,149,452,41,172,32,376,708,35,4666,0.07
"249",20207,"Dunmore East","waterforddivision",NA,92,108,0,4,211,367,5,70,4,236,237,8,2684,0.04
"250",20548,"Dunmore","galwaydivision",NA,82,51,0,1,77,203,10,16,3,87,181,10,1442,0.022
"251",2067,"Dunshaughlin","meathdivision",NA,293,298,0,36,763,1441,83,89,21,486,400,173,8166,0.123
"252",20119,"Durrow","laois/offalydivision",NA,63,90,2,6,188,278,15,55,7,109,191,6,2020,0.03
"253",20348,"Durrus","cork westdivision",NA,27,22,0,0,32,73,3,25,0,47,31,4,528,0.008
"254",20138,"Edenderry","laois/offalydivision",NA,469,301,3,34,820,1218,106,282,75,845,872,100,10250,0.154
"255",20105,"Edgeworthstown","roscommon/longforddivision",NA,289,194,6,24,496,703,51,140,52,467,414,43,5758,0.087
"256",20533,"Elphin","roscommon/longforddivision",NA,44,38,0,3,75,100,14,25,2,60,74,6,882,0.013
"257",20282,"Emly","tipperarydivision",NA,52,24,0,2,47,63,5,17,5,75,55,9,708,0.011
"258",20667,"Emyvale","cavan/monaghandivision",NA,140,152,0,2,149,496,39,40,11,178,153,28,2776,0.042
"259",2071,"Enfield","meathdivision",NA,142,189,1,22,386,814,57,43,19,297,237,10,4434,0.067
"260",20447,"Ennis","claredivision",NA,1591,1676,10,146,1927,6433,528,2070,367,3187,6906,1419,52520,0.79
"261",20185,"Enniscorthy","wexforddivision",NA,906,851,1,47,1391,2970,317,755,94,1961,2634,271,24396,0.367
"262",20564,"Enniscrone","sligo/leitrimdivision",NA,135,151,0,3,194,294,32,50,6,202,249,18,2668,0.04
"263",2041,"Enniskerry","wicklowdivision",NA,70,51,0,20,397,998,15,98,17,481,109,14,4540,0.068
"264",20468,"Ennistymon","claredivision",NA,287,289,0,3,298,813,33,120,26,597,1160,70,7392,0.111
"265",20495,"Eyrecourt","galwaydivision",NA,35,23,1,0,84,128,5,6,9,77,33,10,822,0.012
"266",20400,"Farranfore","kerrydivision",NA,52,108,0,1,96,126,12,69,4,62,57,9,1192,0.018
"267",20128,"Ferbane","laois/offalydivision",NA,108,104,2,0,210,364,25,30,14,186,200,19,2524,0.038
"268",20312,"Fermoy","cork northdivision",NA,435,595,2,11,309,1140,180,819,74,875,2174,263,13754,0.207
"269",20187,"Ferns","wexforddivision",NA,93,86,3,5,319,457,24,38,7,222,181,15,2900,0.044
"270",20208,"Ferrybank","waterforddivision",NA,285,290,4,23,491,766,48,257,39,502,428,88,6442,0.097
"271",20255,"Fethard","tipperarydivision",NA,148,124,2,5,301,306,18,109,33,293,239,15,3186,0.048
"272",2030,"Finglas","d.m.r. westerndivision",NA,1635,1406,20,1113,3322,12599,648,4395,1014,7899,5538,684,80546,1.212
"273",2033,"Fitzgibbon Street","d.m.r. north centraldivision",NA,1627,911,16,1097,3240,11613,599,2329,729,5202,4721,423,65014,0.978
"274",20585,"Foxford","mayodivision",NA,102,117,0,0,145,297,20,65,8,162,181,9,2212,0.033
"275",20427,"Foynes","limerickdivision",NA,125,84,2,4,176,310,18,30,6,179,140,27,2202,0.033
"276",20534,"Frenchpark","roscommon/longforddivision",NA,76,56,0,4,116,258,11,40,7,107,138,4,1634,0.025
"277",20229,"Freshford","kilkenny/carlowdivision",NA,37,41,0,1,117,116,5,17,7,30,54,2,854,0.013
"278",20475,"Gaillimh","galwaydivision",NA,3841,2945,25,413,5137,19122,1450,3444,448,7846,19298,2262,132462,1.993
"279",2076,"Garristown","d.m.r. northerndivision",NA,41,50,0,9,238,412,9,29,7,92,48,9,1888,0.028
"280",20308,"Glanmire","cork citydivision",NA,357,394,1,22,410,1656,146,420,72,900,1015,80,10946,0.165
"281",20325,"Glantaine","cork northdivision",NA,48,70,0,0,77,144,5,30,2,71,90,4,1082,0.016
"282",22222,"Glasson","westmeath","EASTERN REGION",36,50,0,1,137,274,10,11,2,60,31,3,1230,0.019
"283",20571,"Gleann na Muaidhe","mayodivision",NA,61,23,0,0,22,42,3,3,2,92,201,3,904,0.014
"284",20547,"Glenamaddy","galwaydivision",NA,65,40,0,1,44,94,13,4,4,48,70,10,786,0.012
"285",20390,"Glenbeigh","kerrydivision",NA,42,35,0,0,36,35,5,14,0,22,72,1,524,0.008
"286",20347,"Glengarriff","cork westdivision",NA,27,32,0,2,30,132,5,22,2,84,42,15,786,0.012
"287",20211,"Glenmore","kilkenny/carlowdivision",NA,26,44,0,1,141,162,4,28,7,71,35,2,1042,0.016
"288",20428,"Glin","limerickdivision",NA,36,22,1,5,93,137,11,21,3,90,59,26,1008,0.015
"289",20177,"Glynn","wexforddivision",NA,41,54,0,0,130,110,13,41,3,72,28,9,1002,0.015
"290",20588,"Gob an Choire","mayodivision",NA,59,49,0,0,21,64,7,8,2,70,51,1,664,0.01
"291",20283,"Golden","tipperarydivision",NA,27,42,0,1,80,104,4,29,1,36,28,2,708,0.011
"292",20232,"Goresbridge","kilkenny/carlowdivision",NA,36,82,0,8,245,358,11,77,6,168,113,9,2226,0.033
"293",20180,"Gorey","wexforddivision",NA,624,919,6,38,1368,2631,185,517,113,1138,2286,407,20464,0.308
"294",20507,"Gort","galwaydivision",NA,213,420,1,6,244,745,80,276,26,346,811,103,6542,0.098
"295",20236,"Graiguenamanagh","kilkenny/carlowdivision",NA,82,117,0,6,240,361,17,60,12,196,242,10,2686,0.04
"296",20103,"Granard","roscommon/longforddivision",NA,221,200,0,12,410,595,59,96,26,404,448,61,5064,0.076
"297",20598,"Grange","sligo/leitrimdivision",NA,57,98,0,2,178,348,23,34,5,181,83,19,2056,0.031
"298",2043,"Greystones","wicklowdivision",NA,579,381,4,92,2098,3933,201,429,106,2161,1777,115,23752,0.357
"299",20302,"Gurranabraher","cork citydivision",NA,1412,855,7,135,1137,3559,180,2203,471,5024,4489,544,40032,0.602
"300",20601,"Gurteen","sligo/leitrimdivision",NA,68,44,0,2,62,181,11,31,1,99,75,10,1168,0.018
"301",2054,"Hackballscross","louthdivision",NA,21,70,0,9,168,272,12,9,6,140,53,30,1580,0.024
"302",20169,"Hacketstown","kilkenny/carlowdivision",NA,52,28,1,13,143,164,12,41,7,95,69,8,1266,0.019
"303",20479,"Headford","galwaydivision",NA,98,84,0,1,148,269,22,26,1,104,90,12,1710,0.026
"304",20417,"Henry Street","limerickdivision",NA,2876,2425,30,627,4207,21351,955,3769,917,7741,13689,2848,122870,1.849
"305",20245,"Holycross","tipperarydivision",NA,30,70,0,2,125,121,6,38,5,67,122,16,1204,0.018
"306",20434,"Hospital Co Limerick","limerickdivision",NA,103,59,0,5,139,269,18,63,10,161,185,16,2056,0.031
"307",2029,"Howth","d.m.r. northerndivision",NA,388,431,5,198,1906,4205,186,515,125,2033,1565,135,23384,0.352
"308",20502,"Indreabhan","galwaydivision",NA,78,94,0,0,48,95,13,6,6,83,85,8,1032,0.016
"309",20336,"Innishannon","cork westdivision",NA,32,111,0,0,66,129,9,126,9,63,68,4,1234,0.019
"310",206,"Irishtown","d.m.r. south centraldivision",NA,436,423,17,217,3327,7615,373,635,143,2757,2267,195,36810,0.554
"311",20369,"Kanturk","cork westdivision",NA,270,304,0,6,276,688,83,181,32,420,829,66,6310,0.095
"312",20535,"Keadue","roscommon/longforddivision",NA,36,18,0,1,42,100,4,67,0,34,26,8,672,0.01
